filename,ticker,year,sentence,positive,neutral,negative
WLCON_2021.csv,WLCON,2021,"The Company recorded net income of ₱2,561 million for the year 2021, up by 76.8% or ₱1,113 million from the ₱1,449 million reported in 2020 with net margins of 9.3% and 6.4%, respectively.",0.9567222595214844,0.020774981006979942,0.022502735257148743
WLCON_2021.csv,WLCON,2021,"Net sales for the year 2021, amounted to ₱27,513 million, an increase of 21.6% or ₱4,884 million from last year.",0.950507402420044,0.027153031900525093,0.02233961410820484
WLCON_2021.csv,WLCON,2021,"The increase was driven by comparable sales, which grew by 12.1% traced mainly to the increase in the number of transactions particularly in branches located in Luzon.",0.9564478397369385,0.029723841696977615,0.01382823009043932
WLCON_2021.csv,WLCON,2021,"In March 2020, at the outset of the pandemic, all Luzon branches were closed for two months in compliance with the quarantine rules imposed by the Philippine government to control the spread of the Covid-19 disease.",0.017106318846344948,0.10489057004451752,0.8780031204223633
WLCON_2021.csv,WLCON,2021,"In 2021, except for sporadic one-day closure of a few stores in view of typhoons or localized pandemic-related lockdowns, all branches remained operational throughout the year despite surges in Covid-19 cases and imposition of stricter quarantine measures.",0.017888041213154793,0.028385402634739876,0.953726589679718
WLCON_2021.csv,WLCON,2021,"All stores remained open when stricter quarantine measures were imposed particularly in Metro Manila, nearby provinces and bigger cities in Visayas and Mindanao from the last week of March until the end of April and from August to mid-October.",0.04094317555427551,0.06603143364191055,0.8930253982543945
WLCON_2021.csv,WLCON,2021,The balance of the increase was contributed by below one-year sales of new stores.,0.9198721051216125,0.0370209701359272,0.043106917291879654
WLCON_2021.csv,WLCON,2021,"The Company opened ten (10) new branches in 2021, nine (9) depot format stores and one (1) smaller format, Home Essentials.",0.06576525419950485,0.9208693504333496,0.013365400955080986
WLCON_2021.csv,WLCON,2021,"On a per format basis, sales from the depot-format stores, which comprised 97.4% of total net sales, grew by 22.1% or ₱4,851 million to ₱26,792 million from the ₱21,941 million net sales in 2020.",0.9558265209197998,0.024774815887212753,0.01939859800040722
WLCON_2021.csv,WLCON,2021,"Comparable sales growth (same store sales growth) reached 12.3%, contributing 91.9% of the total net sales increase of the format.",0.9353567957878113,0.051219046115875244,0.013424240984022617
WLCON_2021.csv,WLCON,2021,"Meanwhile, sales from new depots comprised 8.1% of the format’s net sales growth.",0.16128894686698914,0.8274669051170349,0.01124412938952446
WLCON_2021.csv,WLCON,2021,"The smaller format “Home Essentials”, recording net sales of ₱530 million accounting for 1.9% of total net sales, likewise reported a total and comparable sales growth of 3.8% as at December 31, 2021 from the prior year’s ₱510 million.",0.9494107365608215,0.029721109196543694,0.020868049934506416
WLCON_2021.csv,WLCON,2021,"The remaining 0.7% of total net sales was accounted for by project sales or sales to major developers, amounting to ₱192 million, increasing by 7.9% or ₱14 million year-on-year.",0.9363227486610413,0.046942491084337234,0.016734808683395386
WLCON_2021.csv,WLCON,2021,"Gross profit grew by 32.0% or ₱2,494 million from the 2020 level of ₱7,782 million to close at ₱10,276 million for the year for a gross profit margin of 37.3%.",0.9561687707901001,0.021514879539608955,0.022316355258226395
WLCON_2021.csv,WLCON,2021,The increase was traced mainly to higher sales for the period and the expansion in gross profit margin which grew by 296 basis points year-on-year.,0.9529412984848022,0.031485188752412796,0.015573416836559772
